Ticker,Weights,1y Value,Initial Value
NVDA,7.392784818332779,1240.514341338552,739.2784818332779
APP,6.585155898471895,4479.781424066404,658.5155898471895
KLAC,6.497228263321725,710.0993218602429,649.7228263321725
SMCI,6.210951110032195,369.0565152337971,621.0951110032195
PINS,6.1470260601078,642.9278598894891,614.70260601078
PODD,6.081709214638319,1024.9173166788448,608.1709214638319
TER,6.06718457910608,673.866578964996,606.718457910608
ITCI,5.986276039500491,1075.7060311897262,598.6276039500491
EXEL,5.913940462885617,981.482514434728,591.3940462885616
CRS,5.89951204131289,1781.6045225137968,589.9512041312889
CWAN,5.841232096792659,891.1548063247494,584.1232096792659
HALO,5.81860907678362,856.5837410742712,581.860907678362
CPRX,5.558390338713939,853.5539465831876,555.8390338713939
ABT,5.372291971435265,630.0388663027352,537.2291971435266
KR,5.043211485492297,710.8474740307952,504.32114854922975
DKS,4.849330669585124,613.3905705685619,484.9330669585124
LKQ,4.735165873487313,381.6270672111416,473.5165873487313
