Stock,Market Cap,Revenue,Volatility,Stock Allocation Weight (%)
NVDA,3291333550000,35082000000,26.903776377598934,7.392784818332779
APP,141222725903,1372779000,91.50791006143011,6.5851558984718945
KLAC,100236664100,3076851000,76.97913213892691,6.497228263321725
SMCI,32832629550,5308192000,25.322955116353025,6.210951110032195
PINS,25589898423,1154130000,4.656769279873796,6.1470260601078
PODD,19836949440,597500000,32.20416515786024,6.081709214638319
TER,18744849290,752884000,16.394816672699285,6.06718457910608
ITCI,13673780800,175159000,6.609285888212811,5.986276039500491
EXEL,10313614850,566755000,4.741220519316371,5.913940462885617
CRS,9749467234,676900000,41.727817305348374,5.89951204131289
CWAN,7767870955,126465000,4.539939693814158,5.841232096792659
HALO,7112085750,298008000,8.51157645905517,5.81860907678362
CPRX,2578682260,128695000,2.841976081365245,5.558390338713939
ABT,234013343200,10635000000,5.140682066715284,5.372291971435265
KR,47077806360,33634000000,4.335381468961929,5.043211485492297
DKS,18302538609,3057181000,23.693276243655355,4.8493306695851235
LKQ,10493185910,3357000000,4.8297026886988075,4.735165873487313
